Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
eaU^C@@@ed\RV^PLFAMCNackgh\bTfbbQbRbbbRbbUbUTqg@dQVwsUUUUUUUUUTuSUWbBHeDxbblcd|TTRVTJdtvgt@@ !BQwK[ORS}nuwYJBFwj~pwggKP~BwWfXPbWk^]nsaMNuwxk]JG]wxa]~Rbog|^M?aqg[oMnIv{JLwDpuJGmw{BUB^~g[neVEC~Cwy]~{TT	334866		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fjmHR@LBBfBOQ@DYIHUEDdehdmiu`kT@@AET@@@ !B?jC~W{?~@Ox}j@JW@j`??dKhXOy`?mwhOTbBjA?~@bcLjDC~G^_]F@	93930		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fjmHR@LBBfBOQ@DYIHUEDdehdmiu`kT@@AET@@@ !B?jC~W{?~@Ox}j@JW@j`??dKhXOy`?mwhOTbBjA?~@bcLjDC~G^_]F@	93930		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcoIR@LBCFBIkv@HrRPjJIIK[IQISJZ][s^kT@@@S@AS@@`F@ !BoS]|Ms\Bb@Hw_PF@rOtw@oy?R@IH`c]}MwuH__y?b@IH_TbBrGw~@DbBRHI~@Da}R@HAoxbB	1223		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcoIR@LBCFBIkv@HrRPjJIIK[IQISJZ][s^kT@@@S@AS@@`F@ !BoS]|Ms\Bb@Hw_PF@rOtw@oy?R@IH`c]}MwuH__y?b@IH_TbBrGw~@DbBRHI~@Da}R@HAoxbB	1223		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fncpR@LVcAFc@BLddlRTrbvTTVEKMUh@JZjjh`@@ !B?g?~`G?~`OyBJDKWHOx`?dIW?@b@?cthx@EBu?rg@O{BJMS[HIdm|Hbr[K`	1333		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fncpR@LVcAFc@BLddlRTrbvTTVEKMUh@JZjjh`@@ !B?g?~`G?~`OyBJDKWHOx`?dIW?@b@?cthx@EBu?rg@O{BJMS[HIdm|Hbr[K`	1333		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbu@S@FZCDDPRH\DILs\}|r|dgLDQDuKTH@@ !B_Dc@?gtH_G]|BG?~pjc@?`Lh_Ta|R@Iww?y@VWtw_T`CMrx?MGl	2819		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbu@S@FZCDDPRH\DILs\}|r|dgLDQDuKTH@@ !B_Dc@?gtH_G]|BG?~pjc@?`Lh_Ta|R@Iww?y@VWtw_T`CMrx?MGl	2819		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ffcaB@LH@DYEDhhiddiidS^]DmVj`@@@`@@@@ !ByzKWw_z@MwqH`g_|?dBW@va]?hCw@h}|lIJHxc_]olC~@D`}}tJowOz@	134040		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
